序号,楼盘名称,物业类型,销售状态,位置,房型,面积,标签,单价,总价
15143,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
15144,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
15145,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
15146,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
15147,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
15148,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
15149,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
15150,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
15151,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
15152,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
15153,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
15154,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
15155,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
15156,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
15157,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
15158,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
15159,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
15160,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
15161,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
15162,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
15163,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
15164,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
15165,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
15166,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
15167,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
15168,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
15169,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
15170,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
15171,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
15172,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
15173,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
15174,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
15175,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
15176,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
15177,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
15178,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
15179,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
15180,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
15181,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
15182,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
15183,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
15184,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
15185,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
15186,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
15187,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
15188,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
15189,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
15190,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
15191,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
15192,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
15193,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
15194,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
15195,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
15196,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
15197,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
15198,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
15199,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
15200,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
15201,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
15202,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
15203,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
15204,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
15205,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
15206,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
15207,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
15208,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
15209,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
15210,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
15211,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
15212,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
15213,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
15214,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
15215,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
15216,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
15217,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
15218,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
15219,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
15220,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
15221,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
15222,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
15223,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
15224,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
15225,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
15226,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
15227,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
15228,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
15229,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
15230,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
15231,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
15232,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
15233,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
15234,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
15235,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
15236,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
15237,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
15238,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
15239,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
15240,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
15241,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
15242,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
15243,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
15244,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
15245,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
15246,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
15247,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
15248,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
15249,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
15250,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
15251,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
15252,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
15253,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
15254,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
15255,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
15256,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
15257,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
15258,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
15259,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
15260,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
15261,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
15262,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
15263,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
15264,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
15265,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
15266,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
15267,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
15268,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
15269,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
15270,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
15271,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
15272,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
15273,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
15274,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
15275,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
15276,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
15277,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
15278,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
15279,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
15280,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
15281,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
15282,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
15283,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
15284,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
15285,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
15286,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
15287,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
15288,深国际万科悦城,住宅,在售,龙华区/民治/民治街道民乐路与梅观路的交汇处,3室,建面 79-97㎡,品牌房企小户型绿化率高车位充足,63000元/平(均价),总价480万/套起
15289,深业上城,商业类,在售,福田区/莲花/笋岗西路1号,5室,建面 470㎡,现房绿化率高,130000元/平(均价),总价6110万/套起
15290,正兆景嘉园,住宅,在售,光明区/公明/双明大道北侧,4室/5室/7室,建面 155-350㎡,现房绿化率高车位充足复式,39000元/平(均价),总价607万/套起
15291,万科麓山,别墅,在售,龙岗区/布吉水径/布龙路与吉华路交汇处（上水径地铁口）,3室/4室,建面 88-125㎡,现房绿化率高,80000元/平(均价),总价660万/套起
15292,中粮祥云,写字楼,在售,龙岗区/大运新城/深惠路与如意路交汇处,1室/4室,建面 52-131㎡,小户型现房绿化率高,35000元/平(均价),总价182万/套起
15293,深城投中心公馆,商业类,在售,坪山区/坪山/中心区行政二路（坪山实验学校对面）,1室,建面 25-45㎡,小户型绿化率高车位充足近地铁,33000元/平(均价),总价80万/套起
15294,塑和公园华府,住宅,在售,罗湖区/东门/人民北路3011号,5室,建面 209㎡,现房绿化率高花园洋房近地铁,80000元/平(均价),总价1672万/套起
15295,宏发前城,住宅,在售,宝安区/西乡/宝安大道和海城路交汇处,4室,建面 77-194㎡,小户型现房绿化率高车位充足花园洋房近地铁,70000元/平(均价),总价1358万/套起
15296,珑门,住宅,在售,龙华区/观澜/福前路与新丹路交汇处,3室/4室,建面 82-106㎡,绿化率高车位充足花园洋房复式,46000元/平(均价),总价359万/套起
15297,怀德峰景,住宅,在售,宝安区/福永/福永街道,3室,建面 88㎡,现房绿化率高车位充足花园洋房,52000元/平(均价),总价458万/套起
15298,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
15299,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
15300,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
15301,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
15302,勤诚达正大城,住宅,在售,光明区/公明/光侨路与松白路交汇处,3室/4室,建面 74-140㎡,小户型绿化率高低密度,45000元/平(均价),总价441万/套起
15303,奥园翡翠东湾二期,住宅,在售,坪山区/坪山/金牛东路与兰景中路交汇处,2室/3室,建面 65-126㎡,品牌房企小户型绿化率高,30000元/平(均价),总价200万/套起
15304,香山美墅果岭五期,住宅,在售,南山区/华侨城/南山华侨城文化创意园香山西街,,,绿化率高,90000元/平(均价),暂无
15305,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
15306,麓园,住宅,在售,龙岗区/龙岗中心城/黄阁北路龙城高级中学东侧,2室/3室/4室,建面 76-145㎡,小户型现房车位充足,40000元/平(均价),总价345万/套起
